REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
00157178	00264793	S13 NORRTÄLJEVIKEN	Norrtäljeviken P3<or>S13<or>S13 / NORRTÄLJEFJÄRDEN		5945.66	1845.37	59.761	18.7562	6630772	710945	1200	5		Biota;Vatten		BPNS15
00157179	00264794	VITA MÄRREN			5921.08	1844.92	59.3513	18.7487	6585175	713098	1200	5		Biota;Vatten	VAL-2018-05-14	BPNS74
00157180	00264795	GRYM2			5734.60	1633.12	57.5767	16.552	6382642	592813	1200			Biota;Vatten	VAL-2018-05-14	
00157181	00264796	HAE 29		HAE 29	5832.76	1722.07	58.546	17.3678	6491930	637806	1200			Biota;Vatten	VAL-2018-05-14	
00157182	00264797	SÖ28B HÅLLSVIKEN	SÖ28B / HÅLLSVIKEN		5851.11	1730.61	58.8518	17.5102	6526269	644812	1200	5		Biota;Vatten	VAL-2018-05-14	BPND28
00157183	00264798	AC 18			6437.92	2119.34	64.632	21.3223	7182512	801847	1200			Biota;Vatten	VAL-2018-05-14	
00157184	00264799	ÖSTHAMMARSFJÄRDEN - N			6015.75	1823.87	60.2625	18.3978	6685487	687964	1200			Biota;Vatten	VAL-2018-05-14	GBAO03
00157185	00264800	AC 3			6438.24	2122.28	64.6373	21.3713	7183338	804120	1200			Biota;Vatten	VAL-2018-05-14	
00157186	00264801	RÄVUNGARNA			5747.09	1141.70	57.7848	11.695	6409552	303521	1200	14		Biota;Vatten	VAL-2018-05-14	KANI10
00157187	00264802	KYRKFJÄRDEN S	KYRKFJÄRDEN (S)		5926.00	1811.40	59.4333	18.19	6592644	680920	1200	15		Biota;Vatten	VAL-2018-05-14	BPNS83
00157188	00264803	6023 SPELMAN	6023<or>SPELMAN	6023 SPELMAN	5845.50	1743.40	58.7583	17.7233	6516345	657529	1200			Biota;Vatten	VAL-2018-05-14	
00157189	00264804	RAMSÖN W			5758.60	1144.70	57.9767	11.745	6430750	307520	1200	31		Biota;Vatten	VAL-2018-05-14	FIBO63
00157190	00264805	S9 NÄTRAFJÄRDEN	S9		6309.26	1842.39	63.1543	18.7065	7008175	686675	1200			Biota;Vatten	VAL-2018-05-14	
00157191	00264806	R 1-7			6020.32	1829.38	60.3387	18.4897	6694228	692592	1200			Biota;Vatten	VAL-2018-05-14	
00157192	00264807	HANO12	12A (VHK14)		5542.05	1413.99	55.7008	14.2332	6173050	451806	1200			Biota;Vatten	VAL-2018-05-14	
00157193	00264808	EDEBOVIKEN E2	E2		6007.61	1834.44	60.1268	18.574	6670908	698521	1200	17		Biota;Vatten	VAL-2018-05-14	
00157194	00264809	BLOCKHUSUDDEN			5919.15	1809.16	59.3192	18.1527	6579839	679406	1200	37		Biota;Vatten	VAL-2018-05-14	BPNS68
00157195	00264810	K7 KARLSHAMNSFJÄRDEN	K7<or>K7 / KARLSHAMNSFJÄRDEN<or>KARLSHAMNSFJÄRDEN		5609.70	1451.75	56.1617	14.8625	6224081	491460	1200	9		Biota;Vatten	VAL-2018-05-14	BPSH34
00157196	00264811	P20 INRE FJÄRDEN	INRE FJÄRDEN<or>P20<or>P20 / INRE FJÄRDEN		6518.20	2126.10	65.3033	21.435	7257568	799597	1200	17		Biota;Vatten	VAL-2018-05-14	GBBP01
00157197	00264812	HAE 26		HAE 26	5832.02	1717.57	58.5337	17.2928	6490406	633489	1200			Biota;Vatten	VAL-2018-05-14	
00157198	00264813	H6			6341.77	2051.66	63.6962	20.861	7076447	789476	1200			Biota;Vatten	VAL-2018-05-14	
00157199	00264814	S9			6332.06	1958.09	63.5343	19.9682	7054715	746853	1200	98		Biota;Vatten	VAL-2018-05-14	GBSY22
00157200	00264815	AC 5			6439.18	2118.80	64.653	21.3133	7184800	801185	1200			Biota;Vatten	VAL-2018-05-14	
00157201	00264816	K12 RONNEBYFJÄRDEN	ACKUMULATIONSBOTTEN<or>K12 / RONNEBYFJÄRDEN<or>RONNEBYFJÄRDEN<or>RONNEBYFJÄRDEN, ACKUMULATIONSBOTTEN<or>RONNEBYFJÄRDEN, ACKUMULATIONSBOTTEN<oor>K12 / RONNEBYFJÄRDEN<or>RY, RONNEBYFJÄRDEN, SEDIMENT<or>RY,RONNEBYFJÄRDEN		5609.50	1517.80	56.1583	15.2967	6223742	518427	1200	10	SE622565-146841	Biota;Vatten	VAL-2018-05-14	BPSH39
00157202	00264817	KOLLHOLM			5816.50	1148.70	58.275	11.8117	6463754	313030	1200	26		Biota;Vatten	VAL-2018-05-14	FIBO64
00157203	00264818	VD6			6515.36	2145.28	65.256	21.7547	7253875	815000	1200			Biota;Vatten	VAL-2018-05-14	
00157204	00264819	EB3MS			5709.40	1628.97	57.1567	16.4828	6335801	589696	1200			Biota;Vatten	VAL-2018-05-14	
00157205	00264820	SÖ11 SJÖSAFJÄRDEN	SÖ11<or>SÖ11 / SJÖSAFJÄRDEN		5844.02	1706.52	58.7337	17.1087	6512317	622069	1200	5		Biota;Vatten		BPND11
00157206	00264821	U1			5715.05	1205.43	57.2508	12.0905	6349058	324476	1200			Biota;Vatten	VAL-2018-05-14	
00157207	00264822	H10			6320.34	1910.05	63.339	19.1675	7030142	708533	1200	2		Biota;Vatten	VAL-2018-05-14	GBSY37
00157208	00264823	R 7-20			6521.22	2150.99	65.3537	21.8498	7265189	818242	1200			Biota;Vatten	VAL-2018-05-14	
00157209	00264824	S3			6041.44	1730.60	60.6907	17.51	6730951	637051	1200			Biota;Vatten	VAL-2018-05-14	
00157210	00264825	6025 SKVALLRAN	6025<or>SKVALLRAN	6025	5847.40	1743.80	58.79	17.73	6519884	657771	1200			Biota;Vatten	VAL-2018-05-14	
00157211	00264826	K11MV			5637.74	1620.95	56.629	16.3492	6276903	582770	1200			Biota;Vatten	VAL-2018-05-14	
00157212	00264827	S99 INGARÖFJÄRDEN	H 60<or>S 19<or>S99<or>S99 / INGARÖFJÄRDEN		5912.83	1828.48	59.2138	18.4747	6569031	698331	1200	5		Biota;Vatten		BPNS42
00157213	00264828	MUSÖN			5838.50	1114.10	58.6417	11.235	6506286	281521	1200	32		Biota;Vatten	VAL-2018-05-14	FIBX42
00157214	00264829	2099 O EKOKNÖLEN	2099		5847.68	1815.64	58.7947	18.2607	6521776	688400	1200			Biota;Vatten	VAL-2018-05-14	
00157215	00264830	MB6MSF			5703.44	1635.87	57.0573	16.5978	6324902	596911	1200			Biota;Vatten	VAL-2018-05-14	
00157216	00264831	F2 FALKENBERG	F2		5653.79	1226.33	56.8965	12.4388	6308786	344004	1200			Biota;Vatten	VAL-2018-05-14	
00157217	00264832	ÖVF 3:2 LUNDÅKRA	ÖVF 3:2		5547.10	1254.40	55.785	12.9067	6184134	368730	1200	6	SE618791-131845	Biota;Vatten	VAL-2018-05-14	SOCX32
00157218	00264833	18 KLINGERFJÄRDEN	18		6258.70	1745.19	62.9783	17.7532	6986162	639527	1200			Biota;Vatten	VAL-2018-05-14	
00157219	00264834	K15-MV	K15MV		5638.10	1618.50	56.635	16.3083	6277522	580252	1200	6		Biota;Vatten	VAL-2018-05-14	BPWK03
00157220	00264835	H50	Husum 50		6318.76	1910.68	63.3127	19.178	7027247	709249	1200	33		Biota;Vatten	VAL-2018-05-14	GBSY39
