scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Pandaloidea	Haworth, 1825	Superfamily	106716	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106716	Caridea	106674	accepted	106716	Pandaloidea	Haworth, 1825	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Caridea - [Superfamily] Pandaloidea
Axiidea	de Saint Laurent, 1979	Infraorder	477324	https://www.marinespecies.org/aphia.php?p=taxdetails&id=477324	Pleocyemata	106670	accepted	477324	Axiidea	de Saint Laurent, 1979	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Axiidea
Munididae	Ahyong, Baba, Macpherson & Poore, 2010	Family	562645	https://www.marinespecies.org/aphia.php?p=taxdetails&id=562645	Galatheoidea	106685	accepted	562645	Munididae	Ahyong, Baba, Macpherson & Poore, 2010	Animalia	Arthropoda	Malacostraca	Decapoda	Munididae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Galatheoidea - [Family] Munididae
Porcellanidae	Haworth, 1825	Family	106734	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106734	Galatheoidea	106685	accepted	106734	Porcellanidae	Haworth, 1825	Animalia	Arthropoda	Malacostraca	Decapoda	Porcellanidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Anomura - [Superfamily] Galatheoidea - [Family] Porcellanidae
Leucosioidea	Samouelle, 1819	Superfamily	106699	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106699	Heterotremata	106680	accepted	106699	Leucosioidea	Samouelle, 1819	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Leucosioidea
Leucosiidae	Samouelle, 1819	Family	106758	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106758	Leucosioidea	106699	accepted	106758	Leucosiidae	Samouelle, 1819	Animalia	Arthropoda	Malacostraca	Decapoda	Leucosiidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Leucosioidea - [Family] Leucosiidae
Ebaliinae	Stimpson, 1871	Subfamily	148433	https://www.marinespecies.org/aphia.php?p=taxdetails&id=148433	Leucosiidae	106758	accepted	148433	Ebaliinae	Stimpson, 1871	Animalia	Arthropoda	Malacostraca	Decapoda	Leucosiidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Leucosioidea - [Family] Leucosiidae - [Subfamily] Ebaliinae
Majoidea	Samouelle, 1819	Superfamily	106700	https://www.marinespecies.org/aphia.php?p=taxdetails&id=106700	Heterotremata	106680	accepted	106700	Majoidea	Samouelle, 1819	Animalia	Arthropoda	Malacostraca	Decapoda			[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Majoidea
Oregoniidae	Garth, 1958	Family	368557	https://www.marinespecies.org/aphia.php?p=taxdetails&id=368557	Majoidea	106700	accepted	368557	Oregoniidae	Garth, 1958	Animalia	Arthropoda	Malacostraca	Decapoda	Oregoniidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Majoidea - [Family] Oregoniidae
Oregoniinae	Garth, 1958	Subfamily	148428	https://www.marinespecies.org/aphia.php?p=taxdetails&id=148428	Oregoniidae	368557	accepted	148428	Oregoniinae	Garth, 1958	Animalia	Arthropoda	Malacostraca	Decapoda	Oregoniidae		[] Biota - [Kingdom] Animalia - [Phylum] Arthropoda - [Subphylum] Crustacea - [Superclass] Multicrustacea - [Class] Malacostraca - [Subclass] Eumalacostraca - [Superorder] Eucarida - [Order] Decapoda - [Suborder] Pleocyemata - [Infraorder] Brachyura - [Section] Eubrachyura - [Subsection] Heterotremata - [Superfamily] Majoidea - [Family] Oregoniidae - [Subfamily] Oregoniinae
