scientific_name	authority	rank	aphia_id	url	parent_name	parent_id	status	valid_aphia_id	valid_name	valid_authority	kingdom	phylum	class	order	family	genus	classification
Protodinium simplex	Lohmann, 1908	Species	663583				accepted	663583	Protodinium simplex	Lohmann, 1908	Chromista	Myzozoa	Dinoflagellata incertae sedis	NA	NA	Protodinium	
Amphiprora paludosa var. paludosa	W. Smith, 1853	Variety	163647				unassessed	163646	Entomoneis paludosa	(W.Smith) Reimer, 1975	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Amphiprora	
Pennales	NA	Order	1304629				accepted	1304629	Pennales	NA	Chromista	Ochrophyta	Bacillariophyceae	Pennales	NA	NA	
Thalassiosira constricta	Gaarder, 1938	Species	345531				unassessed	1307640	Bacterosira constricta	(Gaarder, 1938) J.S. Park & J.H. Lee, 2016	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	
Meridion circulare var. circulare	(Greville) C.Agardh, 1831	Variety	180420				accepted	180420	Meridion circulare var. circulare	(Greville) C.Agardh, 1831	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Meridion	
Rhizosolenia longiseta	O.Zacharias, 1893	Species	163522				accepted	163522	Rhizosolenia longiseta	O.Zacharias, 1893	Chromista	Ochrophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	
Ankistrodesmus arcuatus	Korshikov, 1953	Species	575733				accepted	575733	Ankistrodesmus arcuatus	Korshikov, 1953	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Ankistrodesmus	
Bacillariophyta			148898				unaccepted	148899	Bacillariophyceae	Haeckel, 1878	Chromista	Bacillariophyta					
Katablepharis remigera	(N.Vv?rs) B.Clay & P.Kugrens, 2000	Species	627117				accepted	627117	Katablepharis remigera	(N.Vv?rs) B.Clay & P.Kugrens, 2000	Chromista	Cryptophyta	Cryptophyta incertae sedis		Katablepharidaceae	Katablepharis	
Octactis speculum	(Ehrenberg) F.H.Chang, J.M.Grieve & J.E.Sutherland, 2017	Species	1310442				accepted	1310442	Octactis speculum	(Ehrenberg) F.H.Chang, J.M.Grieve & J.E.Sutherland, 2017	Chromista	Ochrophyta	Dictyochophyceae	Dictyochales	Dictyochaceae	Octactis	
Actiniidae	Rafinesque, 1815	Family	100653	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100653	Actinioidea	853973	accepted	100653	Actiniidae	Rafinesque, 1815	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae		[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae
Edwardsiidae	Andres, 1881	Family	100665	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100665	Edwardsioidea	888373	accepted	100665	Edwardsiidae	Andres, 1881	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae		[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Anenthemonae - [Superfamily] Edwardsioidea - [Family] Edwardsiidae
Sagartiidae	Gosse, 1858	Family	100681	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100681	Metridioidea	854224	accepted	100681	Sagartiidae	Gosse, 1858	Animalia	Cnidaria	Anthozoa	Actiniaria	Sagartiidae		[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae
Cerianthidae	Milne Edwards & Haime, 1851	Family	100684	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100684	Spirularia	151646	accepted	100684	Cerianthidae	Milne Edwards & Haime, 1851	Animalia	Cnidaria	Anthozoa	Spirularia	Cerianthidae		[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Ceriantharia - [Order] Spirularia - [Family] Cerianthidae
Urticina	Ehrenberg, 1834	Genus	100706	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100706	Actiniidae	100653	accepted	100706	Urticina	Ehrenberg, 1834	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Urticina	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae - [Genus] Urticina
Sagartiogeton	Carlgren, 1924	Genus	100777	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100777	Sagartiidae	100681	accepted	100777	Sagartiogeton	Carlgren, 1924	Animalia	Cnidaria	Anthozoa	Actiniaria	Sagartiidae	Sagartiogeton	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae - [Genus] Sagartiogeton
Cerianthus	Delle Chiaje, 1841	Genus	100782	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100782	Cerianthidae	100684	accepted	100782	Cerianthus	Delle Chiaje, 1841	Animalia	Cnidaria	Anthozoa	Spirularia	Cerianthidae	Cerianthus	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Ceriantharia - [Order] Spirularia - [Family] Cerianthidae - [Genus] Cerianthus
Pachycerianthus	Roule, 1904	Genus	100783	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100783	Cerianthidae	100684	accepted	100783	Pachycerianthus	Roule, 1904	Animalia	Cnidaria	Anthozoa	Spirularia	Cerianthidae	Pachycerianthus	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Ceriantharia - [Order] Spirularia - [Family] Cerianthidae - [Genus] Pachycerianthus
Bolocera tuediae	(Johnston, 1832)	Species	100817	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100817	Bolocera	100698	accepted	100817	Bolocera tuediae	(Johnston, 1832)	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Bolocera	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae - [Genus] Bolocera - [Species] Bolocera tuediae
Urticina eques	(Gosse, 1858)	Species	100833	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100833	Urticina	100706	accepted	100833	Urticina eques	(Gosse, 1858)	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Urticina	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae - [Genus] Urticina - [Species] Urticina eques
Urticina felina	(Linnaeus, 1761)	Species	100834	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100834	Urticina	100706	accepted	100834	Urticina felina	(Linnaeus, 1761)	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Urticina	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Actiniidae - [Genus] Urticina - [Species] Urticina felina
Actinostola callosa	(Verrill, 1882)	Species	100839	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100839	Actinostola	100709	accepted	100839	Actinostola callosa	(Verrill, 1882)	Animalia	Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Actinostola	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinostoloidea - [Family] Actinostolidae - [Genus] Actinostola - [Species] Actinostola callosa
Stomphia coccinea	(M¸ller, 1776)	Species	100854	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100854	Stomphia	100716	accepted	100854	Stomphia coccinea	(M¸ller, 1776)	Animalia	Cnidaria	Anthozoa	Actiniaria	Actinostolidae	Stomphia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinostoloidea - [Family] Actinostolidae - [Genus] Stomphia - [Species] Stomphia coccinea
Edwardsia danica	Carlgren, 1921	Species	100882	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100882	Edwardsia	100730	accepted	100882	Edwardsia danica	Carlgren, 1921	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Edwardsia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Anenthemonae - [Superfamily] Edwardsioidea - [Family] Edwardsiidae - [Genus] Edwardsia - [Species] Edwardsia danica
Edwardsia longicornis	Carlgren, 1921	Species	100889	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100889	Edwardsia	100730	accepted	100889	Edwardsia longicornis	Carlgren, 1921	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Edwardsia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Anenthemonae - [Superfamily] Edwardsioidea - [Family] Edwardsiidae - [Genus] Edwardsia - [Species] Edwardsia longicornis
Edwardsia tuberculata	Dueben & Koren, 1847	Species	100894	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100894	Edwardsia	100730	accepted	100894	Edwardsia tuberculata	Dueben & Koren, 1847	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Edwardsia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Anenthemonae - [Superfamily] Edwardsioidea - [Family] Edwardsiidae - [Genus] Edwardsia - [Species] Edwardsia tuberculata
Paraedwardsia arenaria	Carlgren in Nordgaard, 1905	Species	100908	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100908	Paraedwardsia	100735	accepted	100908	Paraedwardsia arenaria	Carlgren in Nordgaard, 1905	Animalia	Cnidaria	Anthozoa	Actiniaria	Edwardsiidae	Paraedwardsia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Anenthemonae - [Superfamily] Edwardsioidea - [Family] Edwardsiidae - [Genus] Paraedwardsia - [Species] Paraedwardsia arenaria
Gonactinia prolifera	(Sars, 1835)	Species	100912	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100912	Gonactinia	100737	accepted	100912	Gonactinia prolifera	(Sars, 1835)	Animalia	Cnidaria	Anthozoa	Actiniaria	Gonactiniidae	Gonactinia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Gonactiniidae - [Genus] Gonactinia - [Species] Gonactinia prolifera
Protanthea simplex	Carlgren, 1891	Species	100913	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100913	Protanthea	100738	accepted	100913	Protanthea simplex	Carlgren, 1891	Animalia	Cnidaria	Anthozoa	Actiniaria	Gonactiniidae	Protanthea	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Gonactiniidae - [Genus] Protanthea - [Species] Protanthea simplex
Halcampa duodecimcirrata	(Sars, 1851)	Species	100917	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100917	Halcampa	100740	accepted	100917	Halcampa duodecimcirrata	(Sars, 1851)	Animalia	Cnidaria	Anthozoa	Actiniaria	Halcampidae	Halcampa	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Halcampidae - [Genus] Halcampa - [Species] Halcampa duodecimcirrata
Halcampoides abyssorum	Danielssen, 1890	Species	100920	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100920	Halcampoides	100743	accepted	100920	Halcampoides abyssorum	Danielssen, 1890	Animalia	Cnidaria	Anthozoa	Actiniaria	Halcampoididae	Halcampoides	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinostoloidea - [Family] Halcampoididae - [Genus] Halcampoides - [Species] Halcampoides abyssorum
Hormathia digitata	(O.F. M¸ller, 1776)	Species	100951	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100951	Hormathia	100757	accepted	100951	Hormathia digitata	(O.F. M¸ller, 1776)	Animalia	Cnidaria	Anthozoa	Actiniaria	Hormathiidae	Hormathia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Hormathiidae - [Genus] Hormathia - [Species] Hormathia digitata
Kadosactis abyssicola	(Koren & Danielssen, 1877)	Species	100975	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100975	Kadosactis	100767	accepted	100975	Kadosactis abyssicola	(Koren & Danielssen, 1877)	Animalia	Cnidaria	Anthozoa	Actiniaria	Kadosactinidae	Kadosactis	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Kadosactinidae - [Genus] Kadosactis - [Species] Kadosactis abyssicola
Limnactinia laevis	Carlgren, 1921	Species	100980	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100980	Limnactinia	100768	accepted	100980	Limnactinia laevis	Carlgren, 1921	Animalia	Cnidaria	Anthozoa	Actiniaria	Limnactiniidae	Limnactinia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Actinioidea - [Family] Limnactiniidae - [Genus] Limnactinia - [Species] Limnactinia laevis
Metridium senile	(Linnaeus, 1761)	Species	100982	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100982	Metridium	100770	accepted	100982	Metridium senile	(Linnaeus, 1761)	Animalia	Cnidaria	Anthozoa	Actiniaria	Metridiidae	Metridium	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Metridiidae - [Genus] Metridium - [Species] Metridium senile
Sagartia troglodytes	(Price in Johnston, 1847)	Species	100994	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100994	Sagartia	100776	unaccepted	855674	Cylista troglodytes	(Price in Johnston, 1847)	Animalia	Cnidaria	Anthozoa	Actiniaria	Sagartiidae	Sagartia	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae - [Genus] Sagartia - [Species] Sagartia troglodytes
Sagartiogeton laceratus	(Dalyell, 1848)	Species	100999	https://www.marinespecies.org/aphia.php?p=taxdetails&id=100999	Sagartiogeton	100777	unaccepted	1471944	Cylista lacerata	(Dalyell, 1848)	Animalia	Cnidaria	Anthozoa	Actiniaria	Sagartiidae	Sagartiogeton	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae - [Genus] Sagartiogeton - [Species] Sagartiogeton laceratus
Gastropoda	Cuvier, 1795	Class	101	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101	Mollusca	51	accepted	101	Gastropoda	Cuvier, 1795	Animalia	Mollusca	Gastropoda				[] Biota - [Kingdom] Animalia - [Phylum] Mollusca - [Class] Gastropoda
Sagartiogeton undatus	(M¸ller, 1778)	Species	101002	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101002	Sagartiogeton	100777	unaccepted	855675	Cylista undata	(M¸ller, 1778)	Animalia	Cnidaria	Anthozoa	Actiniaria	Sagartiidae	Sagartiogeton	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae - [Genus] Sagartiogeton - [Species] Sagartiogeton undatus
Sagartiogeton viduatus	(M¸ller, 1776)	Species	101004	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101004	Sagartiogeton	100777	unaccepted	855677	Sagartia (Cylista) viduata	(M¸ller, 1776)	Animalia	Cnidaria	Anthozoa	Actiniaria	Sagartiidae	Sagartiogeton	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Actiniaria - [Suborder] Enthemonae - [Superfamily] Metridioidea - [Family] Sagartiidae - [Genus] Sagartiogeton - [Species] Sagartiogeton viduatus
Pachycerianthus multiplicatus	Carlgren, 1912	Species	101013	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101013	Pachycerianthus	100783	accepted	101013	Pachycerianthus multiplicatus	Carlgren, 1912	Animalia	Cnidaria	Anthozoa	Spirularia	Cerianthidae	Pachycerianthus	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Ceriantharia - [Order] Spirularia - [Family] Cerianthidae - [Genus] Pachycerianthus - [Species] Pachycerianthus multiplicatus
Sideractis glacialis	Danielssen, 1890	Species	101019	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101019	Sideractis	100788	accepted	101019	Sideractis glacialis	Danielssen, 1890	Animalia	Cnidaria	Anthozoa	Corallimorpharia	Sideractinidae	Sideractis	[] Biota - [Kingdom] Animalia - [Phylum] Cnidaria - [Class] Anthozoa - [Subclass] Hexacorallia - [Order] Corallimorpharia - [Family] Sideractinidae - [Genus] Sideractis - [Species] Sideractis glacialis
Priapulida	ThÈel, 1906	Phylum	101063	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101063	Animalia	2	accepted	101063	Priapulida	ThÈel, 1906	Animalia	Priapulida					[] Biota - [Kingdom] Animalia - [Phylum] Priapulida
Priapulidae	Gosse, 1855	Family	101078	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101078	Priapulomorpha	1263790	accepted	101078	Priapulidae	Gosse, 1855	Animalia	Priapulida		Priapulomorpha	Priapulidae		[] Biota - [Kingdom] Animalia - [Phylum] Priapulida - [Order] Priapulomorpha - [Family] Priapulidae
Halicryptus	von Siebold, 1849	Genus	101093	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101093	Halicryptidae	1263710	accepted	101093	Halicryptus	von Siebold, 1849	Animalia	Priapulida		Halicryptomorpha	Halicryptidae	Halicryptus	[] Biota - [Kingdom] Animalia - [Phylum] Priapulida - [Order] Halicryptomorpha - [Family] Halicryptidae - [Genus] Halicryptus
Halicryptus spinulosus	von Siebold, 1849	Species	101156	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101156	Halicryptus	101093	accepted	101156	Halicryptus spinulosus	von Siebold, 1849	Animalia	Priapulida		Halicryptomorpha	Halicryptidae	Halicryptus	[] Biota - [Kingdom] Animalia - [Phylum] Priapulida - [Order] Halicryptomorpha - [Family] Halicryptidae - [Genus] Halicryptus - [Species] Halicryptus spinulosus
Priapulus caudatus	Lamarck, 1816	Species	101160	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101160	Priapulus	101095	accepted	101160	Priapulus caudatus	Lamarck, 1816	Animalia	Priapulida		Priapulomorpha	Priapulidae	Priapulus	[] Biota - [Kingdom] Animalia - [Phylum] Priapulida - [Order] Priapulomorpha - [Family] Priapulidae - [Genus] Priapulus - [Species] Priapulus caudatus
Lampetra	Bonnaterre, 1788	Genus	101167	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101167	Petromyzontidae	101163	accepted	101167	Lampetra	Bonnaterre, 1788	Animalia	Chordata	Petromyzonti	Petromyzontiformes	Petromyzontidae	Lampetra	[] Biota - [Kingdom] Animalia - [Phylum] Chordata - [Subphylum] Vertebrata - [Infraphylum] Agnatha - [Superclass] Cyclostomi - [Class] Petromyzonti - [Order] Petromyzontiformes - [Family] Petromyzontidae - [Genus] Lampetra
Myxine glutinosa	Linnaeus, 1758	Species	101170	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101170	Myxine	101166	accepted	101170	Myxine glutinosa	Linnaeus, 1758	Animalia	Chordata	Myxini	Myxiniformes	Myxinidae	Myxine	[] Biota - [Kingdom] Animalia - [Phylum] Chordata - [Subphylum] Vertebrata - [Infraphylum] Agnatha - [Superclass] Cyclostomi - [Class] Myxini - [Order] Myxiniformes - [Family] Myxinidae - [Subfamily] Myxininae - [Genus] Myxine - [Species] Myxine glutinosa
Leegaardiella	Lynn & Montagnes, 1988	Genus	101179	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101179	Leegaardiellidae	425493	accepted	101179	Leegaardiella	Lynn & Montagnes, 1988	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella
Lohmanniella	Leegaard, 1915	Genus	101180	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101180	Lohmanniellidae	414837	accepted	101180	Lohmanniella	Leegaard, 1915	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Lohmanniellina - [Family] Lohmanniellidae - [Genus] Lohmanniella
Strobilidium	Schewiakoff, 1892	Genus	101185	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101185	Strobilidiidae	22563	accepted	101185	Strobilidium	Schewiakoff, 1892	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strobilidiidae	Strobilidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strobilidiina - [Family] Strobilidiidae - [Genus] Strobilidium
Strombidium	ClaparËde & Lachmann, 1859	Genus	101195	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101195	Strombidiidae	1703	accepted	101195	Strombidium	ClaparËde & Lachmann, 1859	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Strombidiidae	Strombidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Strombidiidae - [Genus] Strombidium
Tontonia	FaurÈ-Fremiet, 1914	Genus	101196	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101196	Tontoniidae	425511	accepted	101196	Tontonia	FaurÈ-Fremiet, 1914	Chromista	Ciliophora	Oligotrichea	Oligotrichida	Tontoniidae	Tontonia	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Oligotrichida - [Family] Tontoniidae - [Genus] Tontonia
Strombidinopsis	Kent, 1881	Genus	101198	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101198	Strombidinopsidae	22564	accepted	101198	Strombidinopsis	Kent, 1881	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strombidinopsidae	Strombidinopsis	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strombidinopsina - [Family] Strombidinopsidae - [Genus] Strombidinopsis
Leegaardiella ovalis	Lynn & Montagnes, 1988	Species	101206	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101206	Leegaardiella	101179	accepted	101206	Leegaardiella ovalis	Lynn & Montagnes, 1988	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella - [Species] Leegaardiella ovalis
Leegaardiella sol	Lynn & Montagnes, 1988	Species	101207	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101207	Leegaardiella	101179	accepted	101207	Leegaardiella sol	Lynn & Montagnes, 1988	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Leegaardiellina - [Family] Leegaardiellidae - [Genus] Leegaardiella - [Species] Leegaardiella sol
Lohmanniella oviformis	Leegaard, 1915	Species	101209	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101209	Lohmanniella	101180	accepted	101209	Lohmanniella oviformis	Leegaard, 1915	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Lohmanniellina - [Family] Lohmanniellidae - [Genus] Lohmanniella - [Species] Lohmanniella oviformis
Strobilidium spiralis	(Leegaard, 1915) Lynn & Montagnes, 1988	Species	101236	https://www.marinespecies.org/aphia.php?p=taxdetails&id=101236	Strobilidium	101185	unaccepted	341692	Pelagostrobilidium spirale	(Leegaard, 1915) Petz, Song & Wilbert, 1995	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Strobilidiidae	Strobilidium	[] Biota - [Kingdom] Chromista - [Subkingdom] Harosa - [Infrakingdom] Alveolata - [Phylum] Ciliophora - [Subphylum] Intramacronucleata - [Class] Oligotrichea - [Subclass] Oligotrichia - [Order] Choreotrichida - [Suborder] Strobilidiina - [Family] Strobilidiidae - [Genus] Strobilidium - [Species] Strobilidium spiralis
