scientific_name	author	rank	taxon_id	synonyms	Class	Order	Family	Genus	taxon_hierarchy	RecommendedGUID
Tetra�dron minimum	(A.Braun) Hansg.	species	257945		Chlorophyceae	Sphaeropleales	Hydrodictyaceae	Tetra�dron	Plantae - Viridiplantae - Chlorophyta - Chlorophyta - Chlorophyceae - Sphaeropleales - Hydrodictyaceae - Tetra�dron - Tetra�dron minimum	
Animalia		kingdom	5000001						Animalia	urn:lsid:dyntaxa.se:Taxon:5000001
Annelida		phylum	5000022						Animalia - Annelida	urn:lsid:dyntaxa.se:Taxon:5000022
Clitellata		class	4000051		Clitellata				Animalia - Annelida - Clitellata	urn:lsid:dyntaxa.se:Taxon:4000051
Crassiclitellata		order	6000990		Clitellata	Crassiclitellata			Animalia - Annelida - Clitellata - Crassiclitellata	urn:lsid:dyntaxa.se:Taxon:6000990
Lumbricidae		family	2000550		Clitellata	Crassiclitellata	Lumbricidae		Animalia - Annelida - Clitellata - Crassiclitellata - Lumbricidae	urn:lsid:dyntaxa.se:Taxon:2000550
Eiseniella	"Michaelsen, 1900"	genus	1006768		Clitellata	Crassiclitellata	Lumbricidae	Eiseniella	Animalia - Annelida - Clitellata - Crassiclitellata - Lumbricidae - Eiseniella	urn:lsid:dyntaxa.se:Taxon:1006768
Eiseniella tetraedra	"(Savigny, 1826)"	species	225581		Clitellata	Crassiclitellata	Lumbricidae	Eiseniella	Animalia - Annelida - Clitellata - Crassiclitellata - Lumbricidae - Eiseniella - Eiseniella tetraedra	urn:lsid:dyntaxa.se:Taxon:225581
Haplotaxida		order	6000987		Clitellata	Haplotaxida			Animalia - Annelida - Clitellata - Haplotaxida	urn:lsid:dyntaxa.se:Taxon:6000987
Naididae		family	2002942		Clitellata	Haplotaxida	Naididae		Animalia - Annelida - Clitellata - Haplotaxida - Naididae	urn:lsid:dyntaxa.se:Taxon:2002942
Naidinae	"Ehrenberg, 1828"	subfamily	6007845		Clitellata	Haplotaxida	Naididae		Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae	urn:lsid:dyntaxa.se:Taxon:6007845
Arcteonais	"Piguet, 1928"	genus	1006795		Clitellata	Haplotaxida	Naididae	Arcteonais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Arcteonais	urn:lsid:dyntaxa.se:Taxon:1006795
Arcteonais lomondi	"(Martin, 1907)"	species	225634		Clitellata	Haplotaxida	Naididae	Arcteonais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Arcteonais - Arcteonais lomondi	urn:lsid:dyntaxa.se:Taxon:225634
Paranais	"Czerniavsky, 1880"	genus	1006805		Clitellata	Haplotaxida	Naididae	Paranais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Paranais	urn:lsid:dyntaxa.se:Taxon:1006805
Paranais botniensis	"Sperber, 1948"	species	225656		Clitellata	Haplotaxida	Naididae	Paranais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Paranais - Paranais botniensis	urn:lsid:dyntaxa.se:Taxon:225656
Paranais frici	"Hrabe, 1941"	species	225657		Clitellata	Haplotaxida	Naididae	Paranais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Paranais - Paranais frici	urn:lsid:dyntaxa.se:Taxon:225657
Paranais litoralis	"(Müller, 1780)"	species	225655		Clitellata	Haplotaxida	Naididae	Paranais	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Paranais - Paranais litoralis	urn:lsid:dyntaxa.se:Taxon:225655
Ripistes	"Dujardin, 1842"	genus	1006794		Clitellata	Haplotaxida	Naididae	Ripistes	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Ripistes	urn:lsid:dyntaxa.se:Taxon:1006794
Ripistes parasita	"(Schmidt, 1847)"	species	225633		Clitellata	Haplotaxida	Naididae	Ripistes	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Ripistes - Ripistes parasita	urn:lsid:dyntaxa.se:Taxon:225633
Slavina	"Vejdovský, 1884"	genus	1006797		Clitellata	Haplotaxida	Naididae	Slavina	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Slavina	urn:lsid:dyntaxa.se:Taxon:1006797
Slavina appendiculata	"(Udekem, 1855)"	species	225637		Clitellata	Haplotaxida	Naididae	Slavina	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Slavina - Slavina appendiculata	urn:lsid:dyntaxa.se:Taxon:225637
Stylaria	"Lamarck, 1816"	genus	1006793		Clitellata	Haplotaxida	Naididae	Stylaria	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Stylaria	urn:lsid:dyntaxa.se:Taxon:1006793
Stylaria lacustris	"(Linnaeus, 1767)"	species	225632		Clitellata	Haplotaxida	Naididae	Stylaria	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Naidinae - Stylaria - Stylaria lacustris	urn:lsid:dyntaxa.se:Taxon:225632
Branchiura	"Beddard, 1892"	genus	1006786		Clitellata	Haplotaxida	Naididae	Branchiura	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Rhyacodrilinae - Branchiura	urn:lsid:dyntaxa.se:Taxon:1006786
Tubificinae	"Vejdovský, 1876"	subfamily	6007847		Clitellata	Haplotaxida	Naididae		Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae	urn:lsid:dyntaxa.se:Taxon:6007847
Aulodrilus	"Bretscher, 1899"	genus	1006782		Clitellata	Haplotaxida	Naididae	Aulodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Aulodrilus	urn:lsid:dyntaxa.se:Taxon:1006782
Aulodrilus japonicus	"Yamaguchi, 1953"	species	6007498		Clitellata	Haplotaxida	Naididae	Aulodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Aulodrilus - Aulodrilus japonicus	urn:lsid:dyntaxa.se:Taxon:6007498
Aulodrilus limnobius	"Bretscher, 1899"	species	225614		Clitellata	Haplotaxida	Naididae	Aulodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Aulodrilus - Aulodrilus limnobius	urn:lsid:dyntaxa.se:Taxon:225614
Aulodrilus pigueti	"Kowalewski, 1914"	species	225615		Clitellata	Haplotaxida	Naididae	Aulodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Aulodrilus - Aulodrilus pigueti	urn:lsid:dyntaxa.se:Taxon:225615
Aulodrilus pluriseta	"(Piguet, 1906)"	species	225616		Clitellata	Haplotaxida	Naididae	Aulodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Aulodrilus - Aulodrilus pluriseta	urn:lsid:dyntaxa.se:Taxon:225616
Baltidrilus	"Timm, 2013"	genus	1006774		Clitellata	Haplotaxida	Naididae	Baltidrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Baltidrilus	urn:lsid:dyntaxa.se:Taxon:1006774
Baltidrilus costatus	"(Claparède, 1863)"	species	225594		Clitellata	Haplotaxida	Naididae	Baltidrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Baltidrilus - Baltidrilus costatus	urn:lsid:dyntaxa.se:Taxon:225594
Edukemius	"Holmquist, 1978"	genus	6007586		Clitellata	Haplotaxida	Naididae	Edukemius	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Edukemius	urn:lsid:dyntaxa.se:Taxon:6007586
Edukemius benedii	"Holmquist, 1978"	species	225609		Clitellata	Haplotaxida	Naididae	Edukemius	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Edukemius - Edukemius benedii	urn:lsid:dyntaxa.se:Taxon:225609
Limnodrilus	"Claparède, 1862"	genus	1006775		Clitellata	Haplotaxida	Naididae	Limnodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Limnodrilus	urn:lsid:dyntaxa.se:Taxon:1006775
Limnodrilus cervix	"Brinkhurst, 1963"	species	6008077		Clitellata	Haplotaxida	Naididae	Limnodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Limnodrilus - Limnodrilus cervix	urn:lsid:dyntaxa.se:Taxon:6008077
Limnodrilus claparedeanus	"Ratzel, 1868"	species	225596		Clitellata	Haplotaxida	Naididae	Limnodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Limnodrilus - Limnodrilus claparedeanus	urn:lsid:dyntaxa.se:Taxon:225596
Limnodrilus hoffmeisteri	"Claparède, 1862"	species	225595		Clitellata	Haplotaxida	Naididae	Limnodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Limnodrilus - Limnodrilus hoffmeisteri	urn:lsid:dyntaxa.se:Taxon:225595
Limnodrilus profundicola	"(Verrill, 1871)"	species	225597		Clitellata	Haplotaxida	Naididae	Limnodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Limnodrilus - Limnodrilus profundicola	urn:lsid:dyntaxa.se:Taxon:225597
Limnodrilus udekemianus	"Claparède, 1862"	species	225598		Clitellata	Haplotaxida	Naididae	Limnodrilus	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Limnodrilus - Limnodrilus udekemianus	urn:lsid:dyntaxa.se:Taxon:225598
Potamothrix	"Vejdovský & Mrázek, 1903"	genus	1006776		Clitellata	Haplotaxida	Naididae	Potamothrix	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Potamothrix	urn:lsid:dyntaxa.se:Taxon:1006776
Potamothrix bavaricus	"(Öschmann, 1913)"	species	225600		Clitellata	Haplotaxida	Naididae	Potamothrix	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Potamothrix - Potamothrix bavaricus	urn:lsid:dyntaxa.se:Taxon:225600
Potamothrix bedoti	"(Piguet, 1913)"	species	225601		Clitellata	Haplotaxida	Naididae	Potamothrix	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Potamothrix - Potamothrix bedoti	urn:lsid:dyntaxa.se:Taxon:225601
Potamothrix hammoniensis	"(Michaelsen, 1901)"	species	225599		Clitellata	Haplotaxida	Naididae	Potamothrix	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Potamothrix - Potamothrix hammoniensis	urn:lsid:dyntaxa.se:Taxon:225599
Potamothrix heuscheri	"(Bretscher, 1900)"	species	225602		Clitellata	Haplotaxida	Naididae	Potamothrix	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Potamothrix - Potamothrix heuscheri	urn:lsid:dyntaxa.se:Taxon:225602
Potamothrix moldaviensis	"Vejdovský & Mrázek, 1903"	species	225603		Clitellata	Haplotaxida	Naididae	Potamothrix	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Potamothrix - Potamothrix moldaviensis	urn:lsid:dyntaxa.se:Taxon:225603
Potamothrix vejdovskyi	"(Hrabe, 1941)"	species	225604		Clitellata	Haplotaxida	Naididae	Potamothrix	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Potamothrix - Potamothrix vejdovskyi	urn:lsid:dyntaxa.se:Taxon:225604
Psammoryctides	"Hrabe, 1964"	genus	1006778		Clitellata	Haplotaxida	Naididae	Psammoryctides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Psammoryctides	urn:lsid:dyntaxa.se:Taxon:1006778
Psammoryctides albicola	"(Michaelsen, 1901)"	species	225606		Clitellata	Haplotaxida	Naididae	Psammoryctides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Psammoryctides - Psammoryctides albicola	urn:lsid:dyntaxa.se:Taxon:225606
Psammoryctides barbatus	"(Grube, 1861)"	species	225607		Clitellata	Haplotaxida	Naididae	Psammoryctides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Psammoryctides - Psammoryctides barbatus	urn:lsid:dyntaxa.se:Taxon:225607
Psammoryctides moravicus	"(Hrabe, 1934)"	species	6011960		Clitellata	Haplotaxida	Naididae	Psammoryctides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Psammoryctides - Psammoryctides moravicus	urn:lsid:dyntaxa.se:Taxon:6011960
Spirosperma	"Eisen, 1879"	genus	1006779		Clitellata	Haplotaxida	Naididae	Spirosperma	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Spirosperma	urn:lsid:dyntaxa.se:Taxon:1006779
Spirosperma ferox	"Eisen, 1879"	species	225608		Clitellata	Haplotaxida	Naididae	Spirosperma	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Spirosperma - Spirosperma ferox	urn:lsid:dyntaxa.se:Taxon:225608
Tubifex	"Lamarck, 1816"	genus	1006773		Clitellata	Haplotaxida	Naididae	Tubifex	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubifex	urn:lsid:dyntaxa.se:Taxon:1006773
Tubifex ignotus	"(Stolc, 1886)"	species	225593		Clitellata	Haplotaxida	Naididae	Tubifex	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubifex - Tubifex ignotus	urn:lsid:dyntaxa.se:Taxon:225593
Tubifex nerthus	"Michaelsen, 1908"	species	227932		Clitellata	Haplotaxida	Naididae	Tubifex	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubifex - Tubifex nerthus	urn:lsid:dyntaxa.se:Taxon:227932
Tubifex newaensis	"(Michaelsen, 1903)"	species	6011961		Clitellata	Haplotaxida	Naididae	Tubifex	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubifex - Tubifex newaensis	urn:lsid:dyntaxa.se:Taxon:6011961
Tubifex smirnowi	"Lastockin, 1927"	species	6007540		Clitellata	Haplotaxida	Naididae	Tubifex	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubifex - Tubifex smirnowi	urn:lsid:dyntaxa.se:Taxon:6007540
Tubifex tubifex	"(O.F. Müller, 1774)"	species	225592		Clitellata	Haplotaxida	Naididae	Tubifex	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubifex - Tubifex tubifex	urn:lsid:dyntaxa.se:Taxon:225592
Tubificoides	"Lastockin, 1937"	genus	1006780		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides	urn:lsid:dyntaxa.se:Taxon:1006780
Tubificoides aculeatus	"(Cook, 1970)"	species	227934		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides aculeatus	urn:lsid:dyntaxa.se:Taxon:227934
Tubificoides amplivasatus	"(Erséus, 1975)"	species	225610		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides amplivasatus	urn:lsid:dyntaxa.se:Taxon:225610
Tubificoides brownae	"Brinkhurst & Baker, 1979"	species	227935		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides brownae	urn:lsid:dyntaxa.se:Taxon:227935
Tubificoides crenacoleus	"Baker, 1983"	species	227936		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides crenacoleus	urn:lsid:dyntaxa.se:Taxon:227936
Tubificoides cuspisetosus	"Baker, 1983"	species	227937		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides cuspisetosus	urn:lsid:dyntaxa.se:Taxon:227937
Tubificoides diazi	"Brinkhurst & Baker, 1979"	species	227938		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides diazi	urn:lsid:dyntaxa.se:Taxon:227938
Tubificoides fraseri	"Brinkhurst, 1986"	species	227939		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides fraseri	urn:lsid:dyntaxa.se:Taxon:227939
Tubificoides heterochaetus	"(Michaelsen, 1926)"	species	227940		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides heterochaetus	urn:lsid:dyntaxa.se:Taxon:227940
Tubificoides insularis	"(Stephenson, 1922)"	species	227941		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides insularis	urn:lsid:dyntaxa.se:Taxon:227941
Tubificoides kozloffi	"Baker, 1983"	species	225611		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides kozloffi	urn:lsid:dyntaxa.se:Taxon:225611
Tubificoides pseudogaster	"(Dahl, 1960)"	species	225612		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides pseudogaster	urn:lsid:dyntaxa.se:Taxon:225612
Tubificoides scoticus	"Brinkhurst, 1985"	species	227942		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides scoticus	urn:lsid:dyntaxa.se:Taxon:227942
Tubificoides swirencoides	"Brinkhurst, 1985"	species	227943		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides swirencoides	urn:lsid:dyntaxa.se:Taxon:227943
Tubificoides swirencowi	"Jarošenko, 1948"	species	6007587		Clitellata	Haplotaxida	Naididae	Tubificoides	Animalia - Annelida - Clitellata - Haplotaxida - Naididae - Tubificinae - Tubificoides - Tubificoides swirencowi	urn:lsid:dyntaxa.se:Taxon:6007587
Hirudinida		subclass	3000109		Clitellata				Animalia - Annelida - Clitellata - Hirudinida	urn:lsid:dyntaxa.se:Taxon:3000109
Arhynchobdellida		order	3000110		Clitellata	Arhynchobdellida			Animalia - Annelida - Clitellata - Hirudinida - Arhynchobdellida	urn:lsid:dyntaxa.se:Taxon:3000110
Erpobdellidae		family	2000557		Clitellata	Arhynchobdellida	Erpobdellidae		Animalia - Annelida - Clitellata - Hirudinida - Arhynchobdellida - Erpobdellidae	urn:lsid:dyntaxa.se:Taxon:2000557
Erpobdella		genus	1006746		Clitellata	Arhynchobdellida	Erpobdellidae	Erpobdella	Animalia - Annelida - Clitellata - Hirudinida - Arhynchobdellida - Erpobdellidae - Erpobdella	urn:lsid:dyntaxa.se:Taxon:1006746
Erpobdella octoculata	"(Linnaeus, 1758)"	species	225484		Clitellata	Arhynchobdellida	Erpobdellidae	Erpobdella	Animalia - Annelida - Clitellata - Hirudinida - Arhynchobdellida - Erpobdellidae - Erpobdella - Erpobdella octoculata	urn:lsid:dyntaxa.se:Taxon:225484
Erpobdella testacea	"(Savigny, 1820)"	species	226003		Clitellata	Arhynchobdellida	Erpobdellidae	Erpobdella	Animalia - Annelida - Clitellata - Hirudinida - Arhynchobdellida - Erpobdellidae - Erpobdella - Erpobdella testacea	urn:lsid:dyntaxa.se:Taxon:226003
Hirudinidae		family	2000556		Clitellata	Arhynchobdellida	Hirudinidae		Animalia - Annelida - Clitellata - Hirudinida - Arhynchobdellida - Hirudinidae	urn:lsid:dyntaxa.se:Taxon:2000556
Haemopis		genus	1006745		Clitellata	Arhynchobdellida	Hirudinidae	Haemopis	Animalia - Annelida - Clitellata - Hirudinida - Arhynchobdellida - Hirudinidae - Haemopis	urn:lsid:dyntaxa.se:Taxon:1006745
Haemopis sanguisuga	"(Linnaeus, 1758)"	species	225483		Clitellata	Arhynchobdellida	Hirudinidae	Haemopis	Animalia - Annelida - Clitellata - Hirudinida - Arhynchobdellida - Hirudinidae - Haemopis - Haemopis sanguisuga	urn:lsid:dyntaxa.se:Taxon:225483
Rhynchobdellida		order	3000545		Clitellata	Rhynchobdellida			Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida	urn:lsid:dyntaxa.se:Taxon:3000545
Glossiphoniidae		family	2000555		Clitellata	Rhynchobdellida	Glossiphoniidae		Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Glossiphoniidae	urn:lsid:dyntaxa.se:Taxon:2000555
Glossiphonia		genus	1006984		Clitellata	Rhynchobdellida	Glossiphoniidae	Glossiphonia	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Glossiphoniidae - Glossiphonia	urn:lsid:dyntaxa.se:Taxon:1006984
Glossiphonia complanata	"(Linnaeus, 1758)"	species	226004		Clitellata	Rhynchobdellida	Glossiphoniidae	Glossiphonia	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Glossiphoniidae - Glossiphonia - Glossiphonia complanata	urn:lsid:dyntaxa.se:Taxon:226004
Glossiphonia concolor	"(Aphathy, 1888)"	species	226005		Clitellata	Rhynchobdellida	Glossiphoniidae	Glossiphonia	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Glossiphoniidae - Glossiphonia - Glossiphonia concolor	urn:lsid:dyntaxa.se:Taxon:226005
Glossiphonia verrucata	"(Müller, 1844)"	species	6051509		Clitellata	Rhynchobdellida	Glossiphoniidae	Glossiphonia	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Glossiphoniidae - Glossiphonia - Glossiphonia verrucata	urn:lsid:dyntaxa.se:Taxon:6051509
Helobdella		genus	1006985		Clitellata	Rhynchobdellida	Glossiphoniidae	Helobdella	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Glossiphoniidae - Helobdella	urn:lsid:dyntaxa.se:Taxon:1006985
Helobdella stagnalis	"(Linnaeus, 1758)"	species	226006		Clitellata	Rhynchobdellida	Glossiphoniidae	Helobdella	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Glossiphoniidae - Helobdella - Helobdella stagnalis	urn:lsid:dyntaxa.se:Taxon:226006
Piscicolidae		family	2000554		Clitellata	Rhynchobdellida	Piscicolidae		Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Piscicolidae	urn:lsid:dyntaxa.se:Taxon:2000554
Oceanobdella	"Caballero, 1956"	genus	1007776		Clitellata	Rhynchobdellida	Piscicolidae	Oceanobdella	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Piscicolidae - Oceanobdella	urn:lsid:dyntaxa.se:Taxon:1007776
Oceanobdella blennii	"(Knight-Jones, 1940)"	species	227912		Clitellata	Rhynchobdellida	Piscicolidae	Oceanobdella	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Piscicolidae - Oceanobdella - Oceanobdella blennii	urn:lsid:dyntaxa.se:Taxon:227912
Oceanobdella microstoma	"(L. Johansson, 1896)"	species	227913		Clitellata	Rhynchobdellida	Piscicolidae	Oceanobdella	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Piscicolidae - Oceanobdella - Oceanobdella microstoma	urn:lsid:dyntaxa.se:Taxon:227913
Oceanobdella sexoculata	"(Malm, 1863)"	species	227914		Clitellata	Rhynchobdellida	Piscicolidae	Oceanobdella	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Piscicolidae - Oceanobdella - Oceanobdella sexoculata	urn:lsid:dyntaxa.se:Taxon:227914
Piscicola		genus	1006740		Clitellata	Rhynchobdellida	Piscicolidae	Piscicola	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Piscicolidae - Piscicola	urn:lsid:dyntaxa.se:Taxon:1006740
Piscicola geometra	"(Linnaeus, 1758)"	species	225478		Clitellata	Rhynchobdellida	Piscicolidae	Piscicola	Animalia - Annelida - Clitellata - Hirudinida - Rhynchobdellida - Piscicolidae - Piscicola - Piscicola geometra	urn:lsid:dyntaxa.se:Taxon:225478
Lumbriculida		order	6000988		Clitellata	Lumbriculida			Animalia - Annelida - Clitellata - Lumbriculida	urn:lsid:dyntaxa.se:Taxon:6000988
Lumbriculidae		family	2000547		Clitellata	Lumbriculida	Lumbriculidae		Animalia - Annelida - Clitellata - Lumbriculida - Lumbriculidae	urn:lsid:dyntaxa.se:Taxon:2000547
Lumbriculus	"Grube, 1844"	genus	1006811		Clitellata	Lumbriculida	Lumbriculidae	Lumbriculus	Animalia - Annelida - Clitellata - Lumbriculida - Lumbriculidae - Lumbriculus	urn:lsid:dyntaxa.se:Taxon:1006811
Lumbriculus variegatus	"(O.F. Müller, 1774)"	species	225671		Clitellata	Lumbriculida	Lumbriculidae	Lumbriculus	Animalia - Annelida - Clitellata - Lumbriculida - Lumbriculidae - Lumbriculus - Lumbriculus variegatus	urn:lsid:dyntaxa.se:Taxon:225671
Stylodrilus	"Claparède, 1862"	genus	1006813		Clitellata	Lumbriculida	Lumbriculidae	Stylodrilus	Animalia - Annelida - Clitellata - Lumbriculida - Lumbriculidae - Stylodrilus	urn:lsid:dyntaxa.se:Taxon:1006813
Stylodrilus brachystylus	"Hrabe, 1929"	species	6007841		Clitellata	Lumbriculida	Lumbriculidae	Stylodrilus	Animalia - Annelida - Clitellata - Lumbriculida - Lumbriculidae - Stylodrilus - Stylodrilus brachystylus	urn:lsid:dyntaxa.se:Taxon:6007841
Stylodrilus heringianus	"Claparède, 1862"	species	225673		Clitellata	Lumbriculida	Lumbriculidae	Stylodrilus	Animalia - Annelida - Clitellata - Lumbriculida - Lumbriculidae - Stylodrilus - Stylodrilus heringianus	urn:lsid:dyntaxa.se:Taxon:225673
Polychaeta	"Grube, 1850"	class	4000050		Polychaeta				Animalia - Annelida - Polychaeta	urn:lsid:dyntaxa.se:Taxon:4000050
Echiura	"Newby, 1940"	subclass	5000019		Polychaeta				Animalia - Annelida - Polychaeta - Echiura	urn:lsid:dyntaxa.se:Taxon:5000019
Bonelliida		suborder	4000045		Polychaeta				Animalia - Annelida - Polychaeta - Echiura - Bonelliida	urn:lsid:dyntaxa.se:Taxon:4000045
Bonelliidae	"Lacaze-Duthiers, 1858"	family	2000360		Polychaeta		Bonelliidae		Animalia - Annelida - Polychaeta - Echiura - Bonelliida - Bonelliidae	urn:lsid:dyntaxa.se:Taxon:2000360
Bonellia	"Rolando,1822"	genus	1013031		Polychaeta		Bonelliidae	Bonellia	Animalia - Annelida - Polychaeta - Echiura - Bonelliida - Bonelliidae - Bonellia	urn:lsid:dyntaxa.se:Taxon:1013031
Bonellia viridis	"Rolando, 1822"	species	247466		Polychaeta		Bonelliidae	Bonellia	Animalia - Annelida - Polychaeta - Echiura - Bonelliida - Bonelliidae - Bonellia - Bonellia viridis	urn:lsid:dyntaxa.se:Taxon:247466
Maxmuelleria	"Bock, 1942"	genus	1013038		Polychaeta		Bonelliidae	Maxmuelleria	Animalia - Annelida - Polychaeta - Echiura - Bonelliida - Bonelliidae - Maxmuelleria	urn:lsid:dyntaxa.se:Taxon:1013038
Maxmuelleria faex	"(Selenka, 1885)"	species	6003219		Polychaeta		Bonelliidae	Maxmuelleria	Animalia - Annelida - Polychaeta - Echiura - Bonelliida - Bonelliidae - Maxmuelleria - Maxmuelleria faex	urn:lsid:dyntaxa.se:Taxon:6003219
